accountid,firstname,lastname,email,datejoined,avgrating
6EBHW,Allen,Nguyen,allen05@gmail.com,2022-07-11,3.5714285714285716
6EL48,Sarah,Townsend,94Sarah40@gmail.com,2022-06-08,2
6EVQH,Brandon,Hernandez,hernandez6231@yahoo.com,2022-04-07,2
6F0TV,Scott,Holmes,Holmes7795@gmail.com,2022-03-18,3
6FWZI,Jason,Hutchinson,940jashutchinson@gmail.com,2022-01-18,4.333333333333333
6GSGP,Sarah,Ingram,ingram30282@gmail.com,2022-10-01,3.4285714285714284
6GV6U,Kristen,Brooks,kribrooks@gmail.com,2022-06-22,2
6H7N0,Hector,Johnson,hector75@gmail.com,2022-03-08,5
6IKGL,Randy,Gomez,Gomez.randy142@aol.com,2022-09-21,2
6IPKS,Steven,Shah,steven_shah@gmail.com,2022-04-13,3.857142857142857
6J1NZ,Jon,Rodriguez,jonrodriguez@gmail.com,2022-09-16,5
6J9A9,Darius,Allen,allen.darius764@gmail.com,2022-03-17,1
6K1RV,Keith,Dawson,dawson23530@gmail.com,2022-05-27,4
6KA0U,Cassandra,Martinez,martinez_cassandra10963@gmail.com,2022-03-01,4
6KEJ9,Jodi,Mendez,jodi093@gmail.com,2022-06-05,1
6KVU0,Gabriela,Lane,gab561@gmail.com,2022-08-16,3.75
6KXC3,Maria,Baker,Baker_maria76375@hotmail.com,2022-05-22,4.333333333333333
6LV2R,Carlos,Smith,Carlos18783@gmail.com,2022-06-14,4.833333333333333
6M648,Christopher,Hernandez,hernandez49@gmail.com,2022-07-23,1
6MX7E,Paul,Murray,murray_pau@gmail.com,2022-03-09,1
6NS86,Michael,Stone,stone96@aol.com,2022-09-05,4.75
6O7XW,Thomas,Wilson,wilson.thomas@aol.com,2022-08-14,3
6OUEY,Jason,Harris,973harris1215@gmail.com,2022-09-29,3
6P3VN,Jaime,Swanson,jaimeswanson@gmail.com,2022-06-03,5
6PA04,,Morales,janiceMorales@yahoo.com,2022-06-06,4.142857142857143
6PA36,Nicholas,Paul,Paul92574@gmail.com,2022-05-30,4
6QFD3,Sandra,Chavez,chavez_sandra@gmail.com,2022-03-18,4
6QJGV,Jacqueline,Cooke,jacquelinecooke836@gmail.com,2022-02-22,3.6
6QLXH,Jody,Gutierrez,03505gutierrez_Jody@gmail.com,2022-09-27,4
6R1B0,Jamie,Garcia,Garciajam@gmail.com,2022-03-28,3
6RCV4,Christopher,Garcia,Christopher782@gmail.com,2022-06-20,5
6RFUG,Charles,Gonzales,Charles38321@gmail.com,2022-10-23,4
6RSQM,Robert,Terry,robert506@yahoo.com,2022-06-30,3
6S8DR,Megan,Strickland,57strickland_megan26@gmail.com,2022-08-28,1
6SS99,,Henry,Henryand@gmail.com,2022-09-11,4
6UD1H,Troy,Phillips,phillips_tro372@gmail.com,2022-03-23,2
6VLT3,Paige,Cannon,paige_cannon188@gmail.com,2022-10-13,2
6VZZH,Joshua,Aguirre,aguirre.joshua@gmail.com,2022-01-09,2
6WQ8P,,Lucero,kathrynlucero@aol.com,2022-09-30,3
6XUOQ,Henry,Robinson,Robinson09051@aol.com,2022-02-16,2
6Y7OF,Anthony,Warren,ant11909@gmail.com,2022-06-22,3
6YV2J,Laura,Odom,laura.odom186@aol.com,2022-07-26,1
6Z0GW,Audrey,Schultz,schultz38@gmail.com,2022-08-01,4
6ZG2P,Lawrence,Larson,larson6614@gmail.com,2022-05-16,3.5
70QQ7,Tonya,Reid,39tonya_reid5140@hotmail.com,2022-04-03,3
712ON,Jessica,Ruiz,ruiz.jessica@yahoo.com,2022-04-22,2
717PI,Joseph,Brown,83982brown0952@aol.com,2022-03-20,2
72PR7,Elizabeth,Coleman,Elizabeth75991@yahoo.com,2022-10-24,2
7456D,Terry,Bailey,ter5580@gmail.com,2022-10-08,4
74KQ3,,Griffith,mar395@aol.com,2022-03-12,3
76J9V,Alexandra,Thomas,5991alexandra_thomas@gmail.com,2022-01-23,5
7.70E+30,Michael,Hill,Michaelhill3778@gmail.com,2022-05-07,
77KUY,Kelsey,Arellano,Kel.arellano@gmail.com,2022-01-06,4.5
785CE,Marcus,Wright,marcus6178@gmail.com,2022-09-10,3
78CNR,Katherine,Chavez,Katherine66592@aol.com,2022-01-26,2
78M1A,Walter,Ross,ross92@gmail.com,2022-05-03,2
78V1D,Alyssa,Hurst,hurstalyssa@gmail.com,2022-05-21,4
7AP3F,,Evans,hec.Evans06@gmail.com,2022-07-02,4
7ASVV,,Mendoza,lisa.mendoza@hotmail.com,2022-02-03,1
7B5PR,Nathaniel,Anderson,nathaniel.anderson@gmail.com,2022-06-13,2.6666666666666665
7BLST,Nicole,Lyons,Lyons_nicole@gmail.com,2022-05-11,2
7C8KO,Suzanne,Brown,brownsuzanne1961@gmail.com,2022-05-12,5
7CIPO,Mindy,Hernandez,hernandezmin6835@gmail.com,2022-04-28,4.75
7CV6O,Edward,Wu,wu29@hotmail.com,2022-06-16,1
7D3PZ,Jesus,Tran,jesus.Tran@yahoo.com,2022-08-29,4
7D92X,Sean,Wilkerson,wilkerson_sean@gmail.com,2022-01-24,5
7DTDQ,Andrew,Greene,Greene9388@gmail.com,2022-06-17,3
7E5GA,Victoria,Davenport,Davenport_victoria3874@gmail.com,2022-03-30,4
7E9AJ,Jessica,Hayes,45478Jessica.Hayes65@gmail.com,2022-01-25,5
7ERSM,,Caldwell,Brittany071@gmail.com,2022-04-12,3.25
7FBX2,Amy,Rodriguez,amy0102@gmail.com,2022-02-23,4
7GL41,Cristian,Barker,barker56@gmail.com,2022-03-12,5
7H518,Zoe,Bautista,Zoe_bautista@hotmail.com,2022-01-07,4.8
7I68N,George,Wright,wrightGeorge@gmail.com,2022-07-31,5
7IQA5,,Murray,Janet74@gmail.com,2022-06-07,4
7ISAX,Sandra,Taylor,sandrataylor40183@gmail.com,2022-02-18,2
7IVK8,Tina,Bradley,tina379@gmail.com,2022-06-25,3.625
7JVGI,Jacob,Castillo,castillo24605@yahoo.com,2022-07-22,3
7KG61,Jason,Sloan,sloan8941@gmail.com,2022-09-12,5
7M8II,,Ingram,2305Gab2691@gmail.com,2022-06-17,5
7MV8H,Jesse,Chapman,chapman5739@gmail.com,2022-09-09,2
7NHWS,Jason,Johnson,johnson44209@gmail.com,2022-04-09,5
7P11Q,Thomas,Silva,Silva.thomas33@gmail.com,2022-10-27,2
7Q7LI,Nicole,Alexander,nicole9954@yahoo.com,2022-07-04,5
7QGSO,Rebecca,Liu,reb490@aol.com,2022-02-20,5
7QINW,Stephen,Lee,stephenlee1540@gmail.com,2022-01-30,3.6666666666666665
7QYG6,Rachel,Smith,Rachel.smith@gmail.com,2022-04-30,4
7RFUM,Bryan,Thompson,thompson20@gmail.com,2022-10-13,1
7S3SE,Luke,Holmes,holmes_luke646@gmail.com,2022-06-26,2
7SJZ3,Justin,Price,justin43076@gmail.com,2022-09-19,5
7T5MJ,Robert,Murray,murray.rob42394@gmail.com,2022-02-06,5
7T5UJ,Lori,Rogers,lori7525@gmail.com,2022-04-09,5
7TLQP,Samuel,Holmes,1857samuel64463@gmail.com,2022-05-30,5
7TOUB,Richard,Torres,richard9411@gmail.com,2022-02-21,4
7VWUB,Brandon,West,west0327@gmail.com,2022-07-22,4
7W8YE,Betty,Brown,Brown89788@gmail.com,2022-03-17,2.3333333333333335
7WHJR,Keith,Howard,Keith97@gmail.com,2022-08-25,3
7WVZG,Jason,Davis,Jas_davis@gmail.com,2022-10-14,3
7XN5B,Sara,Delgado,delgado127@gmail.com,2022-06-03,5
7YD44,,Mclaughlin,AnthonyMclaughlin101@gmail.com,2022-01-11,3
8030B,Lee,Nelson,nelson0924@aol.com,2022-08-16,5
806KP,Robert,Mcneil,Robertmcneil@gmail.com,2022-02-10,1
8094C,Hannah,White,Hannah5380@gmail.com,2022-09-10,4
80A8F,Samuel,Meadows,samuel4480@gmail.com,2022-06-26,4
80DGW,Stacey,Davis,stacey57@gmail.com,2022-03-30,3
80NAD,Steven,Ross,ross.steven@gmail.com,2022-01-23,3
80VSH,Michael,Sanchez,19mic42432@gmail.com,2022-05-17,4
81H5E,Kevin,Keith,kevin3678@hotmail.com,2022-09-11,3
825NZ,Tyler,Vega,tyler.Vega5636@gmail.com,2022-09-17,3
84243,Wendy,Ayers,5148wendyayers81@hotmail.com,2022-01-24,3
84ZNK,,Lopez,jes191@gmail.com,2022-02-26,5
8.59E+04,Daniel,Phelps,daniel85873@aol.com,2022-09-19,
85HM1,Pamela,Graves,pamelaGraves@gmail.com,2022-06-26,1
85TQL,David,Brown,Brown7583@aol.com,2022-06-03,4.833333333333333
86GM6,Jeffrey,Ramsey,Jeffrey00@aol.com,2022-07-19,4
86J10,Tonya,Beck,tonya1345@gmail.com,2022-08-01,5
87BU7,,Jones,99739richard88@gmail.com,2022-03-14,4
87CKX,Caitlyn,Gonzales,gonzales74@gmail.com,2022-08-14,4.142857142857143
87HJ9,Derrick,Brady,derrick_brady@aol.com,2022-10-21,2
87KJ3,Sherri,Perez,shePerez@gmail.com,2022-10-04,5
87TL4,Margaret,Chung,Chung_margaret@gmail.com,2022-03-11,4
87U6Q,Travis,Butler,butler569@gmail.com,2022-07-02,3
88HZG,Paul,Walker,paul92@gmail.com,2022-10-26,2
89PH1,,Chandler,Elizabeth.chandler@aol.com,2022-08-20,5
8ADGX,Bryan,Koch,koch6493@gmail.com,2022-07-10,2
8AOIB,Amanda,Simmons,ama_Simmons@hotmail.com,2022-02-26,4.25
8AQG4,Courtney,Miller,millercourtney@hotmail.com,2022-06-12,3
8B94P,Diamond,Medina,medina.diamond@gmail.com,2022-10-25,1
8BS67,Nicholas,Murphy,murphynicholas62770@gmail.com,2022-10-25,2
8DO01,Ryan,Knapp,knapp093@gmail.com,2022-07-09,5
8DXG1,Aimee,Medina,aim_medina15951@gmail.com,2022-01-26,1
8EBHM,Jason,Owen,173jason08@gmail.com,2022-07-06,4.5
8F6ZS,Michael,Duffy,michael829@gmail.com,2022-03-17,4.5
8G032,John,Trujillo,john4780@hotmail.com,2022-06-21,3
8HANL,Jamie,Powell,powellJamie@yahoo.com,2022-08-11,3
8HSSP,William,Mills,mills608@hotmail.com,2022-02-15,3.4285714285714284
8HVSN,Michael,Fox,fox03218@hotmail.com,2022-09-10,1
8IMW3,Tammy,Reed,reed_tammy667@gmail.com,2022-08-03,4
8IVU9,James,Davis,jamesdavis366@gmail.com,2022-02-08,5
8K3RE,Matthew,Barnett,Barnett01@gmail.com,2022-09-24,3.6666666666666665
8K7Q8,John,Sellers,sellers.john@gmail.com,2022-01-11,2
8LFHI,Shane,Ortiz,ortiz_shane@hotmail.com,2022-06-23,2
8LJTP,James,Griffith,jamesGriffith@gmail.com,2022-08-07,4.8
8MZDC,Ryan,Miller,ryan.miller@gmail.com,2022-08-22,3.5
8NP1J,Juan,Navarro,juan62@aol.com,2022-07-13,5
8O45Z,,Ramos,ramos06117@gmail.com,2022-02-26,2
8OHXT,Jeffrey,Price,jeffreyprice163@gmail.com,2022-02-18,
8Q3XK,George,Sullivan,79sullivan_george@gmail.com,2022-07-30,5
8RY42,Jack,Davis,davis27479@gmail.com,2022-02-08,4
8SECR,Christopher,Adams,adams282@gmail.com,2022-05-17,
8UVM6,Jennifer,Rice,162jennifer267@gmail.com,2022-07-10,
8V5CO,Olivia,Ruiz,olivia_Ruiz756@gmail.com,2022-01-04,
8VI0V,Rachel,Luna,rachel599@hotmail.com,2022-06-18,5
8WCLV,Victor,Goodman,vic042@gmail.com,2022-02-08,
8WQ8N,Kelly,Wilkinson,wilkinson70@hotmail.com,2022-08-22,
8WZ67,James,Robertson,James.robertson@gmail.com,2022-06-21,
8X3PV,Mary,Lopez,lopez77@gmail.com,2022-08-06,2.3333333333333335
8XKTJ,Karen,Harris,harris.Kar@gmail.com,2022-07-11,
8XTIF,Kathryn,Ray,kathryn.ray@hotmail.com,2022-09-08,
8ZMGH,Timothy,Smith,timothy_smith@gmail.com,2022-09-13,
8ZSZV,Craig,Williams,Williams.Craig@gmail.com,2022-01-14,
91697,Matthew,Davis,matthew_davis@gmail.com,2022-08-12,
91I4R,Mary,Cunningham,marycunningham4745@gmail.com,2022-09-17,
9277X,Justin,Savage,justin.savage@gmail.com,2022-08-09,
92I2Y,,Jackson,jackson.dominique@aol.com,2022-05-19,5
93C9Y,Denise,King,denise137@gmail.com,2022-03-21,
95VW4,Joshua,Petersen,Petersenjoshua@gmail.com,2022-06-28,
96A1O,Henry,Pratt,pratt_Henry492@aol.com,2022-03-29,
96CTH,Brooke,Randall,randall745@gmail.com,2022-01-21,
97WGH,Ashley,Sims,ash01@gmail.com,2022-07-02,
99Z5K,Gloria,Gutierrez,gutierrezgloria4582@gmail.com,2022-08-15,
9ACJU,Stephen,Tyler,stephen.Tyler54622@gmail.com,2022-07-06,
9B61G,Kimberly,Russell,russell.Kimberly@hotmail.com,2022-01-30,
9BCRK,Teresa,Hudson,hudson494@hotmail.com,2022-07-02,
9CBY9,Donald,Armstrong,donald49@gmail.com,2022-06-24,
9CDZ6,William,Nguyen,853williamnguyen901@gmail.com,2022-07-08,
9CK79,Victoria,Garcia,victoriagarcia7686@gmail.com,2022-08-12,3.6666666666666665
9CR7S,Jessica,Miller,jessica_Miller39801@gmail.com,2022-02-22,4.333333333333333
9CWE6,Robert,Nguyen,nguyenRobert632@gmail.com,2022-03-18,5
9CX7X,Bryan,Walls,walls_Bryan84979@aol.com,2022-01-18,
9EMHE,,Lamb,lambdiane@gmail.com,2022-06-04,
9EN65,Linda,Hamilton,lindaHamilton@aol.com,2022-03-29,3
9F21Y,Chris,Paul,103chris9392@gmail.com,2022-06-27,
9FJ8S,Morgan,Levine,morgan.levine@gmail.com,2022-09-18,3.4
9FRBB,Wendy,Tran,tranwendy@gmail.com,2022-09-24,
9GGTF,Joshua,Miller,miller918@yahoo.com,2022-06-26,
9GVYW,William,Cooper,williamcooper@gmail.com,2022-10-03,
9H7FL,Larry,Sanders,sanderslarry@aol.com,2022-05-06,
9LVEL,Erik,Mitchell,Mitchell74979@gmail.com,2022-02-10,
9MLRR,Brandon,Escobar,escobar304@gmail.com,2022-09-07,
9QUHS,Nathaniel,Kelly,Nathaniel65@gmail.com,2022-01-25,
9R01Y,Nancy,Jackson,nancyjackson@gmail.com,2022-04-15,3.6666666666666665
9R94E,Michael,Ibarra,michael54@gmail.com,2022-06-20,
9RJNO,Tammy,Melton,tam_melton@gmail.com,2022-06-10,
9RSZ3,Aaron,Rojas,aaron66@gmail.com,2022-02-19,
9S4KG,Lori,Jones,lori_jones@yahoo.com,2022-04-04,
9SH9V,Megan,Villanueva,villanueva59342@gmail.com,2022-01-16,
9SZLC,Paul,Price,price150@gmail.com,2022-09-01,
9TAE6,Stephen,Mitchell,Stephen49625@gmail.com,2022-03-27,
9U6E5,Rebecca,Thomas,rebecca.Thomas@aol.com,2022-04-29,
9UACF,Wendy,Conway,conway15@gmail.com,2022-03-10,
9UKNK,Gregory,Johnston,gregoryjohnston063@gmail.com,2022-07-15,
9USEK,Jennifer,Nguyen,nguyen264@yahoo.com,2022-02-24,
9VJ3R,Steven,Johnson,Johnson18298@hotmail.com,2022-08-11,
9WYAI,James,Hall,james49575@hotmail.com,2022-03-19,4.333333333333333
9X7GU,Rodney,Evans,evansrodney@gmail.com,2022-05-11,4.4
9XPY5,Matthew,Weaver,weaver33244@gmail.com,2022-09-23,
9YNBR,Cynthia,Anderson,cynthia136@gmail.com,2022-02-02,
9YSA1,Richard,Warren,warrenRichard34731@hotmail.com,2022-01-16,
9ZP9F,Deanna,Walls,walls82@gmail.com,2022-03-05,5
A0B31,Kelsey,Cabrera,cabrera.kelsey@gmail.com,2022-03-14,
A2I46,,Carter,traviscarter@gmail.com,2022-02-17,
A2ZTX,Kristin,Williams,williams_Kri@hotmail.com,2022-04-11,
A330H,Patrick,Jordan,jordan3609@yahoo.com,2022-04-26,
A34BI,Todd,Harrison,Todd.harrison@gmail.com,2022-08-19,3.5
A5VM6,Johnathan,Patterson,patterson482@gmail.com,2022-07-01,
A5WQ0,,Hobbs,hobbs_Lisa50675@gmail.com,2022-08-30,3.111111111111111
A62GD,Mary,Coleman,coleman13@gmail.com,2022-01-06,
A6VKI,John,Butler,john8800@gmail.com,2022-09-14,
A738K,Crystal,Bailey,Baileycrystal@aol.com,2022-07-04,
A7G08,Brian,Simpson,08simpson_brian@gmail.com,2022-02-24,
A7G8C,Daniel,Myers,myers833@gmail.com,2022-10-08,4.5
A83QH,Dennis,Jackson,415Den_jackson0375@gmail.com,2022-05-24,
A84FX,Debra,Davis,debra96096@hotmail.com,2022-01-13,
A861D,Alyssa,Roberts,alyssa3318@gmail.com,2022-05-01,
A8U7K,John,Gilbert,john_Gilbert@gmail.com,2022-08-15,4.555555555555555
AADER,,Hale,Hale166@gmail.com,2022-03-13,5
ABMLY,Rebecca,Duncan,369rebecca12554@yahoo.com,2022-02-26,
ABX8N,Wesley,Davis,davis72@gmail.com,2022-08-03,
AD6O9,Sheila,Jacobs,sheila.jacobs712@aol.com,2022-04-01,
ADOBP,Daniel,Fernandez,daniel96610@gmail.com,2022-09-08,
AE324,Karen,Adams,karen0113@gmail.com,2022-02-10,
AGIEN,Yolanda,King,41422Yol6005@gmail.com,2022-04-09,
AHN40,Julie,Richards,julie77@yahoo.com,2022-05-20,
AHYNX,Melissa,Arellano,arellano2082@gmail.com,2022-04-14,
AI784,Kristina,Miles,kristina00@aol.com,2022-07-01,
AKLNZ,Cynthia,Murphy,murphy.cynthia@gmail.com,2022-04-17,
AKY0V,Kathryn,Smith,smith.kathryn@gmail.com,2022-05-24,
AL0KT,Cristina,Rodriguez,Crirodriguez@gmail.com,2022-10-11,
ALA9F,Diane,Stephens,diane.stephens@gmail.com,2022-08-23,
AM151,Joseph,Howell,joseph97159@gmail.com,2022-08-17,
AMFD2,Cynthia,Williams,williams_cynthia94@gmail.com,2022-02-18,
AN1KX,Helen,Hill,hel645@gmail.com,2022-07-01,
ANWAD,Steve,Daniels,stevedaniels495@gmail.com,2022-07-21,
AP5ZX,Clifford,Schmitt,Schmitt_clifford@gmail.com,2022-06-25,5
APWNU,Amanda,Cross,amanda373@gmail.com,2022-09-26,
AQQLE,Katie,Garner,katie.garner7841@gmail.com,2022-06-15,
ARPGW,Alex,Mills,93000mills_Alex97521@gmail.com,2022-03-17,
ARQJD,Marie,Gomez,Marie052@gmail.com,2022-03-21,4.5
ARWEB,Jonathan,Mcguire,mcguire_jonathan@gmail.com,2022-02-10,4.25
ATFEH,Taylor,Ibarra,ibarra.taylor54@gmail.com,2022-10-20,
AU687,Peter,Anderson,53560pet752@gmail.com,2022-06-17,1.5
AUA3U,,Kennedy,kennedy.matthew@gmail.com,2022-03-12,
AUQ1P,Joan,Horne,joan.horne528@gmail.com,2022-08-01,
AVAG4,Stacy,Williams,Williamsstacy283@yahoo.com,2022-10-16,
AWFGJ,Jennifer,Campbell,campbell82063@gmail.com,2022-09-20,3.7272727272727275
AWXDQ,Taylor,Gonzales,gonzales6725@aol.com,2022-09-03,3.75
AXYFV,Timothy,Rivas,rivas.timothy8990@gmail.com,2022-02-26,4
AYMCG,Johnny,Bennett,78bennett42176@gmail.com,2022-06-11,
AYTRE,Christopher,Morris,morris5125@gmail.com,2022-06-20,
AZB2M,Philip,Barnes,Barnes061@gmail.com,2022-04-05,3.3846153846153846
AZQD3,James,Williamson,williamson_james@gmail.com,2022-02-08,3
AZW6M,Megan,Walton,walton80224@gmail.com,2022-09-18,
B0WMN,Victoria,Taylor,vic.taylor@hotmail.com,2022-02-11,
B1JLP,Kaitlyn,Wiggins,wiggins.kaitlyn@gmail.com,2022-02-27,
B3OWC,Carla,Dean,dean5958@yahoo.com,2022-04-06,
B3U4W,Cheyenne,Robinson,robinson49@gmail.com,2022-07-15,
B75JY,Cory,Schaefer,coryschaefer41@yahoo.com,2022-01-05,
B75QF,Christopher,Roberts,Roberts536@aol.com,2022-10-11,
B8HWI,Rebecca,Good,rebecca155@gmail.com,2022-02-23,
B9099,Annette,Lopez,Annette86@gmail.com,2022-09-04,
BAOCV,William,Smith,william9074@gmail.com,2022-07-15,
BBHBZ,Justin,Schroeder,justin3023@gmail.com,2022-02-05,4
BBU6A,Julia,Castillo,Julia06695@gmail.com,2022-03-19,
BC3Y7,Ashley,Larson,larson35671@hotmail.com,2022-08-17,
BCD6Y,Theodore,Arellano,arellanothe42@gmail.com,2022-06-02,
BCOQK,Megan,Bush,64megan.Bush@gmail.com,2022-01-05,
BEM0O,Kathy,Perkins,perkins_kat@gmail.com,2022-10-24,
BF3QQ,Evan,Shelton,sheltonEvan30329@yahoo.com,2022-06-02,4.2
BFLOJ,Rachel,Sandoval,sandoval55@gmail.com,2022-01-05,
BFNT5,Sherry,Williams,sherry.williams@aol.com,2022-09-25,
BGZ27,Rachel,Rose,rose.rachel66404@hotmail.com,2022-09-06,
BHDQW,Jennifer,White,jenwhite82140@gmail.com,2022-06-24,4
BIVH0,Scott,Flores,flores647@gmail.com,2022-03-11,3.6666666666666665
BJ5MR,Amanda,Gilbert,gilbert70567@gmail.com,2022-01-20,
BJLLH,Stacey,Wood,Woodstacey@gmail.com,2022-01-07,4
BJTDP,William,Brennan,244william581@gmail.com,2022-09-24,
BK9EY,Harry,Terrell,terrell.harry@yahoo.com,2022-08-11,4
BKV8V,Matthew,Boyd,mat.boyd53195@gmail.com,2022-01-16,
BKW17,Kristin,Pennington,penningtonkristin@gmail.com,2022-08-09,2.5
BL4U8,Maria,Moss,Moss_mar72@gmail.com,2022-08-15,3
BLIBV,,Moore,moore516@aol.com,2022-02-07,
BLVD4,Tina,Flynn,flynn69209@yahoo.com,2022-01-02,
BMK8A,David,Rocha,rochaDavid6032@hotmail.com,2022-10-04,
BNSPI,Robert,Holmes,robert96358@gmail.com,2022-06-11,
BOBMM,Yolanda,Lee,lee_yolanda000@gmail.com,2022-02-22,
BPNKV,Benjamin,Gonzalez,benjamin05739@gmail.com,2022-01-11,
BQ74R,Michael,Flowers,5699michael337@aol.com,2022-03-12,4.333333333333333
BQPX6,Christopher,Hall,Hall9885@hotmail.com,2022-06-21,
BRE9O,Cindy,Fuentes,fuentes_cindy218@aol.com,2022-06-02,
BRX62,Jose,Lynn,36539Lynn.jose@aol.com,2022-08-05,
BS8RT,,Gardner,02brandon99@gmail.com,2022-07-24,
BSJMW,Tyrone,Proctor,32proctor33@gmail.com,2022-05-01,4.125
BTYR8,Brenda,Harding,harding53292@aol.com,2022-01-29,
BU4WM,Michelle,Henry,michelle_henry@gmail.com,2022-02-14,
BU7CW,Stacy,Brown,4240brown25@gmail.com,2022-10-25,
BV2XZ,Kelly,Mcintosh,mcintosh139@gmail.com,2022-06-17,
BV5DO,,Haynes,haynesbry80@hotmail.com,2022-01-07,4
BW3MU,Michael,Garcia,mic49@gmail.com,2022-02-22,4.25
BWBBV,Connie,Lyons,lyons460@gmail.com,2022-08-27,
BWFAD,Jacob,Brown,brown96714@gmail.com,2022-04-20,
BWIBS,Ann,Roberts,roberts_ann@hotmail.com,2022-09-25,
BWX1O,Patrick,Edwards,Pat466@aol.com,2022-06-10,
BX2PI,Jessica,Singleton,jessica6171@gmail.com,2022-05-13,5
BY6MS,Nathan,Mccullough,nathan_Mccullough84505@gmail.com,2022-09-06,
BYODB,Heather,Roberts,heather7784@aol.com,2022-01-01,
BZ0D8,Belinda,Miller,Miller03779@gmail.com,2022-01-09,
BZ8KN,Susan,Arnold,Susan72@gmail.com,2022-10-03,
C07UU,Jason,Smith,jason05@gmail.com,2022-05-14,
C0DKH,Miranda,Moody,Mirandamoody@gmail.com,2022-10-08,
C0UHU,Shelly,Luna,sheluna1688@aol.com,2022-01-24,3
C14OD,Gregory,Robertson,robertson89@gmail.com,2022-05-06,
C1NTG,,Hernandez,barbara97637@gmail.com,2022-06-03,3.5
C3TFL,Anna,Miller,miller783@gmail.com,2022-04-11,
C4HH8,,Douglas,douglas.kat@gmail.com,2022-08-03,
C52MZ,Nathan,Moore,nat_Moore80@aol.com,2022-04-07,
C6WW3,Matthew,Conway,Conway_matthew3497@gmail.com,2022-06-25,
C6XFV,Jacob,Ortiz,jacob76@hotmail.com,2022-02-01,
C78AR,James,Cabrera,james_cabrera@gmail.com,2022-06-10,2.8
C8HL5,,Scott,lau0032@gmail.com,2022-10-07,4.333333333333333
C99EN,Julie,Craig,craig.jul@hotmail.com,2022-02-01,
C9PNG,Eric,Jordan,jordan41383@hotmail.com,2022-06-06,
C9PS9,Michelle,Bailey,michelle05@yahoo.com,2022-09-10,4.5
C9XKL,Harold,Weaver,harold314@yahoo.com,2022-05-24,3.625
CA1H1,Donna,Nguyen,don265@gmail.com,2022-01-19,3.8
CA969,Isaac,Velez,isaacvelez696@yahoo.com,2022-07-02,4.75
CAFPE,David,Jackson,jackson.david62@aol.com,2022-05-19,4.5
CB7EM,,Johns,lisa3010@yahoo.com,2022-08-05,
CB8WV,Aaron,Anderson,aaronanderson@gmail.com,2022-03-26,
CC7BL,Reginald,Lopez,reginald702@gmail.com,2022-08-22,
CCMQG,,Peck,steven_peck78@aol.com,2022-09-16,4
CGC2X,Christopher,Nelson,41941Christopher23747@gmail.com,2022-07-25,3.8333333333333335
CHEEQ,Chelsea,Austin,chelseaAustin@hotmail.com,2022-04-06,
CHM29,Melissa,Benjamin,melissa_Benjamin05626@hotmail.com,2022-04-28,3.5
CJNTE,Robert,Gonzalez,gonzalez57@gmail.com,2022-01-28,
CJOR6,Robert,Gonzalez,robert11978@gmail.com,2022-07-22,
CJZRT,Corey,Quinn,quinn9789@hotmail.com,2022-03-22,3.75
CK3WB,Cheryl,Smith,cheryl2923@gmail.com,2022-02-27,
CKCU9,Lisa,Foster,foster_Lisa66069@gmail.com,2022-02-25,
CKEYL,Darryl,Stevenson,stevenson98@yahoo.com,2022-06-26,
CNHAF,Jay,Taylor,jaytaylor@aol.com,2022-01-31,
COVLS,Jennifer,Washington,jennifer7441@gmail.com,2022-08-31,
CRABF,Jeffrey,Morgan,jeffreymorgan75497@gmail.com,2022-06-25,
CS52N,Andrew,Bradley,andrew46@hotmail.com,2022-03-01,
CSADE,Monica,Clark,53461monica_clark@gmail.com,2022-01-30,
CSD0V,,Lopez,lopez560@gmail.com,2022-04-14,
CSPPU,Jasmine,Watson,watson28@hotmail.com,2022-07-17,
CSYDK,Jessica,Zavala,zavalaJessica@aol.com,2022-10-03,
CT9EA,,Cruz,cruz.kristen13@gmail.com,2022-05-03,
CTMHY,Jennifer,Parks,jen_parks@gmail.com,2022-10-08,4.25
CUVCD,Lisa,Perez,Perez_lisa6555@yahoo.com,2022-08-16,4.166666666666667
CUYEM,John,Osborne,osbornejohn061@gmail.com,2022-05-03,
CVFG8,Eric,Rodriguez,rodriguez053@gmail.com,2022-08-09,
CVK2U,Manuel,Smith,smithmanuel17356@aol.com,2022-03-02,5
CVL2V,Kristine,Garrett,garrett.kristine39048@gmail.com,2022-08-25,
CVYN5,,Brock,brock02@gmail.com,2022-01-07,
CX5HZ,Kaitlyn,Vaughan,479vaughan308@gmail.com,2022-02-01,
CX6QZ,Joseph,Smith,07jos19802@gmail.com,2022-09-27,
CXDQI,John,Mejia,mejia80@gmail.com,2022-03-14,4
CXKB1,Michelle,Evans,michelleevans0044@gmail.com,2022-04-26,
CXRQA,April,Key,1375key50354@hotmail.com,2022-07-22,
CYELM,Courtney,Donovan,Cou.donovan44@gmail.com,2022-02-25,
CYGAE,Jeffrey,Carlson,62560jef72@gmail.com,2022-06-13,3.8
CZ859,Heather,Mcclain,heather90@aol.com,2022-04-30,4.285714285714286
CZOIF,Michelle,Hartman,michelle.Hartman@hotmail.com,2022-10-03,3.25
D0S52,David,Greer,greer60@gmail.com,2022-01-24,
D0VJ7,Jonathan,Adams,JonathanAdams5651@gmail.com,2022-07-16,
